date,ai automation company india,isPartial
2025-01-26,0,False
2025-02-02,0,False
2025-02-09,0,False
2025-02-16,0,False
2025-02-23,0,False
2025-03-02,0,False
2025-03-09,0,False
2025-03-16,0,False
2025-03-23,0,False
2025-03-30,0,False
2025-04-06,0,False
2025-04-13,0,False
2025-04-20,0,False
2025-04-27,0,False
2025-05-04,0,False
2025-05-11,0,False
2025-05-18,0,False
2025-05-25,0,False
2025-06-01,28,False
2025-06-08,63,False
2025-06-15,38,False
2025-06-22,0,False
2025-06-29,0,False
2025-07-06,26,False
2025-07-13,30,False
2025-07-20,40,False
2025-07-27,31,False
2025-08-03,0,False
2025-08-10,43,False
2025-08-17,58,False
2025-08-24,43,False
2025-08-31,43,False
2025-09-07,24,False
2025-09-14,0,False
2025-09-21,0,False
2025-09-28,0,False
2025-10-05,0,False
2025-10-12,0,False
2025-10-19,0,False
2025-10-26,35,False
2025-11-02,53,False
2025-11-09,49,False
2025-11-16,59,False
2025-11-23,70,False
2025-11-30,100,False
2025-12-07,76,False
2025-12-14,57,False
2025-12-21,58,False
2025-12-28,76,False
2026-01-04,48,False
2026-01-11,46,False
2026-01-18,8,False
2026-01-25,5,True
