date,what is ai automation,Ai. Automation Class,technology news today,AI Automation platform,AI Automation course,isPartial
2025-01-26,1,0,2,0,0,False
2025-02-02,1,0,3,0,0,False
2025-02-09,2,0,2,0,0,False
2025-02-16,2,0,2,0,0,False
2025-02-23,2,0,1,0,0,False
2025-03-02,1,0,2,0,0,False
2025-03-09,2,0,1,0,0,False
2025-03-16,2,0,1,0,0,False
2025-03-23,1,0,1,0,1,False
2025-03-30,1,0,1,0,0,False
2025-04-06,1,0,1,0,0,False
2025-04-13,1,0,1,0,0,False
2025-04-20,1,0,2,0,0,False
2025-04-27,1,0,1,0,0,False
2025-05-04,0,0,1,0,0,False
2025-05-11,1,0,2,0,0,False
2025-05-18,2,0,1,0,0,False
2025-05-25,2,0,2,0,0,False
2025-06-01,5,0,2,2,1,False
2025-06-08,7,0,1,2,2,False
2025-06-15,3,0,2,1,1,False
2025-06-22,2,0,2,2,0,False
2025-06-29,3,0,2,2,1,False
2025-07-06,2,0,2,1,1,False
2025-07-13,3,0,2,2,2,False
2025-07-20,3,0,2,2,2,False
2025-07-27,3,0,3,2,2,False
2025-08-03,1,0,4,1,1,False
2025-08-10,2,0,3,2,2,False
2025-08-17,3,0,3,2,1,False
2025-08-24,2,0,2,2,1,False
2025-08-31,2,0,1,2,1,False
2025-09-07,2,0,2,1,1,False
2025-09-14,3,0,2,0,0,False
2025-09-21,2,0,1,0,1,False
2025-09-28,1,0,1,0,0,False
2025-10-05,2,0,1,0,0,False
2025-10-12,2,0,2,0,1,False
2025-10-19,0,0,1,0,0,False
2025-10-26,4,0,28,2,2,False
2025-11-02,6,0,73,3,3,False
2025-11-09,6,0,78,3,2,False
2025-11-16,5,0,92,6,3,False
2025-11-23,11,0,98,3,2,False
2025-11-30,18,0,100,3,3,False
2025-12-07,16,0,97,3,3,False
2025-12-14,9,0,51,3,2,False
2025-12-21,8,0,31,3,2,False
2025-12-28,7,0,29,2,1,False
2026-01-04,9,0,31,2,2,False
2026-01-11,6,0,15,2,2,False
2026-01-18,2,0,2,1,1,False
2026-01-25,3,0,2,1,1,True
